section,comp,id,pillar,title,status,syncDate,a1_source,a1_tier,a2_fresh,a3_verify,a4_integ,avg,grade,carddesc_len
korea,SasKoreaJapanDependency,W-SAS14,S5,한국-일본 수출 의존도 추이,STATIC,2025-26,90,primary,75,55,100,80.0,B,58
korea,SasKoreaMajorCompanies,W-SAS15,S5,한국 주요 참치 기업 현황,STATIC,2025-26,90,primary,75,55,100,80.0,B,51
korea,SasKoreaMedBftImports,W-SAS17,S5,한국의 지중해 BFT 수입 지도,STATIC,2025-26,90,primary,75,55,100,80.0,B,54
korea,SasKoreaProductionStructure,W-SAS13,S5,한국 참치 생산 구조 (이중 구조),STATIC,2025-26,90,primary,75,55,100,80.0,B,47
korea,SasKoreaFoodserviceD2C,W-SAS16,S5,한국 참치 외식 양극화 + D2C 부상,STATIC,2025-26,60,weak/none,75,55,100,72.5,C,42
korea,SasKoreaTradeDecade,W-SAS20,S2,한국 10년 무역 구조 변화 (2015-2024),STATIC,2024,60,weak/none,70,55,100,71.2,C,40
global,SasMarketKPIs,W-SAS02,S5,🇺🇸 미국 비통조림 참치 수입액 ($829M),SYNCED,2025,90,primary,75,80,100,86.2,A,62
global,SasFourCountryComparison,W-SAS18,S5,4개국 사시미 공급망 구조 비교,STATIC,2025-26,90,primary,75,55,100,80.0,B,48
global,SasTriadDynamics,W-SAS01,S5,글로벌 트라이애드 (미국/EU/일본),STATIC,2025-26,90,primary,75,55,100,80.0,B,87
global,SasGlobalHotspots,W-SAS21,S1,글로벌 사시미 시장 핫스팟,STATIC,2024,90,primary,70,55,100,78.8,B,42
us,SasCoTreatmentImpact,W-SAS04,S5,일산화탄소(CO) 처리 참치: 단가 교란과 규제 리스크,STATIC,2025-26,90,primary,75,55,100,80.0,B,74
us,SasHawaiiDomesticNiche,W-SAS05,S5,하와이 호놀룰루 참치 경매 동향,STATIC,2025-26,90,primary,75,55,100,80.0,B,61
us,SasSupplyChainSplit,W-SAS03,S5,미국 사시미 공급망 양극화 구조,STATIC,2025-26,90,primary,75,55,100,80.0,B,71
us,SasUsSupplierOrigin,W-SAS29,S3,미국 수입 공급국 & 어종 집중도,STATIC,2024,90,primary,70,55,100,78.8,B,54
us,SasUsSushiPokeMarket,W-SAS30,S4,미국 스시·포케 시장규모 & 채널,STATIC,2024-25,75,secondary,70,55,100,75.0,B,56
ukth,SasThailandHub,W-SAS25,S1,🇹🇭 태국 — 세계 최대 참치 가공 허브,STATIC,2024,90,primary,70,55,100,78.8,B,59
ukth,SasUkMarket,W-SAS26,S1,🇬🇧 영국 — MSC 주도 참치 시장 & FTA 우위,STATIC,2024,90,primary,70,55,100,78.8,B,55
eu,SasBluefinRanchingEconomics,W-SAS06,S5,EU 참다랑어 축양 마진 구조 (Ranching Economics),STATIC,2025-26,90,primary,75,55,100,80.0,B,68
eu,SasDomesticRetailTrend,W-SAS08,S5,EU 주요국 사시미/스테이크 소매 침투율,STATIC,2025-26,90,primary,75,55,100,80.0,B,67
eu,SasEuQuotaProduction,W-SAS07,S5,EU 참다랑어 국가별 생산 쿼터,STATIC,2025-26,90,primary,75,55,100,80.0,B,63
eu,SasEuFreshVsCanned,W-SAS31,S4,EU 신선 vs 통조림 소비 & 채널,STATIC,2024,90,primary,70,55,100,78.8,B,59
eu,SasEuImportSegmentation,W-SAS32,S4,EU 수입 세분 — 단가가 용도를 말한다,STATIC,2024,90,primary,70,55,100,78.8,B,65
japan,SasToyosuAuction,W-SAS27,S1,🇯🇵 도요스 경매 & 일본 사시미 시장,STATIC,2026,90,primary,95,55,100,85.0,A,47
japan,SasQuotaVolatility,W-SAS11,S5,지역별 쿼터(Quota) 양극화 및 자원 압박,STATIC,2025-26,90,primary,75,55,100,80.0,B,69
japan,SasTraceabilityRatings,W-SAS12,S5,추적성(Traceability) 및 지속가능성 리스크,STATIC,2025-26,90,primary,75,55,100,80.0,B,78
japan,SasJapanDemandDecline,W-SAS19,S1,일본 사시미 수요 장기 감소 — 글로벌 리스크,STATIC,2024,90,primary,70,55,100,78.8,B,42
price,SasSashimiPriceLadder,W-SAS09,S5,어종/형태별 사시미 가격 사다리 (Price Ladder),STATIC,2025-26,90,primary,75,55,100,80.0,B,65
price,SasSpeciesPriceTier,W-SAS22,S1,어종별 가격 위계 & 용도 매트릭스,STATIC,2024,90,primary,70,55,100,78.8,B,39
price,SasHedonicPriceFactors,W-SAS10,S5,프리미엄 생물 참치의 쾌락적(Hedonic) 가격 결정 요인,STATIC,2025-26,60,weak/none,75,55,100,72.5,C,67
export,SasExportChecklist,W-SAS24,S2,수출 진입요건 체크리스트 — 시장별 비교,STATIC,2025,90,primary,75,55,100,80.0,B,52
export,SasExportPartnerStrategy,W-SAS23,S2,한국 공장 수출 파트너 전략 (미국·영국·일본),STATIC,2025,90,primary,75,55,100,80.0,B,47
outlook,SasGlobalOutlook2030,W-SAS28,S1,🔮 글로벌 사시미 시장 전망 2030+,STATIC,2025,75,secondary,75,55,100,76.2,B,52
