widget_id,section,title,chartType,disposition,legacy_ids,species,taxon_scope,weight_basis,market_stage,quota_semantics,metrics,claim_type,currency,source_ids,archive_path,restrictions,extractor,owner,note
A_sourcing_signal_board,A,산지 5곳 조달 신호등,signal,신규,,Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,squid_only,n/a,n/a,n/a,coverage,operational,n/a,SQ-MGT-PRODUCE|SQ-MGT-SERNAPESCA|SQ-PROD-INIDEP|SQ-MGT-ARGENTINA|SQ-MGT-FIFD|SQ-MGT-MOF-TAC,00_오징어_관련자료/01_오징어_시장·가격/00_운영/monitoring_calendar.csv;00_오징어_관련자료/01_오징어_시장·가격/02_쿼터·어장/20260812-ARG-CTMFM_Resolution_2_2026.html;00_오징어_관련자료/01_오징어_시장·가격/02_쿼터·어장/20260812-ARG-Resolution_6_2026.html,,derive.py,P1+P3-A,4상태: 조업중|중단·제한|어기외|데이터공백. 아르헨티나는 2026-05-28 후속 법령의 과거형 언급으로 어기외를 파생하되 주간공보 부재는 어획 실적 공백으로 유지
A_peru_pota_timeline,A,페루 pota — LMCTP·누적하역·중단공지 타임라인,timeline,신규,,Dosidicus gigas,squid_only,live_weight,n/a,legal_limit,level|coverage,operational,n/a,SQ-MGT-PRODUCE,00_오징어_관련자료/01_오징어_시장·가격/02_쿼터·어장/20260706-PRODUCE-RM00191_2026_Pota_LMCTP.md;00_오징어_관련자료/01_오징어_시장·가격/02_쿼터·어장/20260709-PRODUCE-Pota_Catch_Progress.md;00_오징어_관련자료/01_오징어_시장·가격/02_쿼터·어장/20260724-PRODUCE-Pota_Suspension.md;00_오징어_관련자료/01_오징어_시장·가격/02_쿼터·어장/20260817-PRODUCE-RM00269_2026_IMARPE_Operacion_Calamar_Gigante_V.pdf,G-006,peru_pota.py,P1+P3-A,G-006: LMCTP를 실적/조달가능량으로 쓰지 말 것. 07-09 누적치는 07-24 중단공지보다 과거 | 2026-08-17 RM00269: IMARPE 조사(8/23~29)·탐사조업(8/30~9/26) 인가. 상업 재개 아님 — 재개 문구 원문 미검출. 이 행을 재개로 읽히게 표기 금지
A_chile_jibia_quota,A,칠레 jibia — 쿼터 소진율,gauge,신규,,Dosidicus gigas,squid_only,live_weight,n/a,consumption,level,operational,n/a,SQ-MGT-SERNAPESCA|SQ-MGT-SUBPESCA,00_오징어_관련자료/01_오징어_시장·가격/10_원본데이터셋/20260806-SERNAPESCA-Jibia_Quota_Consumption_2026.xlsx;00_오징어_관련자료/01_오징어_시장·가격/02_쿼터·어장/20251218-SUBPESCA-Jibia_Quota_2026.md,,chile_jibia.py,P1+P3-A,"분모=SUBPESCA 2026 배분, 분자=SERNAPESCA 소진"
A_falkland_loligo_season,A,포클랜드 Loligo — 어기 캘린더·어기전 자원량,card,개보수,w_squid_falkland_loligo_biomass|w_squid_loligo_season,Doryteuthis gahi,squid_only,live_weight,n/a,allocation,level,descriptive,n/a,SQ-PROD-FIFD|SQ-MGT-FIFD,00_오징어_관련자료/01_오징어_시장·가격/01_생산·자원/20251021-FIFD-Loligo_Preseason_Survey_2025.md;00_오징어_관련자료/01_오징어_시장·가격/01_생산·자원/20250829-FIFD-Loligo_Second_Season_Survey_2025.md;00_오징어_관련자료/01_오징어_시장·가격/02_쿼터·어장/20251212-FIFD-Licensing_Advice_2026.md,,md_extract.py,P1+P3-A,상세는 /falkland 라우트로 링크 | 원문에서 수치 표를 못 얻어 발췌 카드로 확정(timeline→card). 수치 표가 확보되면 되돌릴 것
A_argentina_illex_gap,A,아르헨티나 Illex — 어기 타임라인 및 2026 데이터 공백,timeline,신규,,Illex argentinus,squid_only,live_weight,n/a,n/a,coverage,descriptive,n/a,SQ-PROD-INIDEP|SQ-MGT-ARGENTINA,00_오징어_관련자료/01_오징어_시장·가격/01_생산·자원/20260812-INIDEP-Cephalopod_Program.html;00_오징어_관련자료/01_오징어_시장·가격/08_국가별_조달/01_Argentina/INIDEP_Calamar_T2024_Informe_final.pdf,G-011,md_extract.py,P1+P3-A,"monitoring status=active_gap. 2026 주간공보 미공개 — 추정 금지, 공백으로 표시 | 2026-08-18: 국가별 도시에가 08_국가별_조달/ 로 재편돼 경로 갱신(파일 유실 아님)"
A_korea_tac,A,한국 TAC 적용 업종 확대 — 살오징어 포함,table,신규,,Todarodes pacificus,squid_only,n/a,n/a,n/a,coverage,legal,n/a,SQ-MGT-MOF-TAC,00_오징어_관련자료/01_오징어_시장·가격/02_쿼터·어장/20260630-MOF-TAC_2026-2027.md,,md_extract.py,P1+P3-A,원문은 배분 톤수가 아니라 TAC 적용 업종·단계 확대 보도자료. 살오징어=서남해구외끌이중형저인망 2단계. 톤수 배분은 이 문서에 없다 — 만들어 넣지 말 것
A_japan_surumeika_tac,A,일본 스루메이카 TAC·자원평가,card,신규,,Todarodes pacificus,squid_only,live_weight,n/a,allocation,level,legal,n/a,SQ-MGT-JFA|SQ-PROD-JFA,00_오징어_관련자료/01_오징어_시장·가격/02_쿼터·어장/20260204-JFA-Surumeika_TAC_2026.md;00_오징어_관련자료/01_오징어_시장·가격/02_쿼터·어장/20260323-JFA-Surumeika_TAC_Management.md;00_오징어_관련자료/01_오징어_시장·가격/01_생산·자원/20260114-JFA-Surumeika_Autumn_Stock_Assessment.md;00_오징어_관련자료/01_오징어_시장·가격/01_생산·자원/20260114-JFA-Surumeika_Winter_Stock_Assessment.md,G-007,md_extract.py,P1+P3-A,한국과 동해 공유자원 — A_korea_tac과 나란히 배치 | 원문에서 수치 표를 못 얻어 발췌 카드로 확정(composed→card). 수치 표가 확보되면 되돌릴 것
A_sprfmo_cmm18_effort,A,SPRFMO CMM18 — 선박수 상한 (effort 기반),bar,개보수,w_squid_cmm18_quota,Dosidicus gigas,squid_only,n/a,n/a,effort_limit,effort,legal,n/a,SQ-MGT-SPRFMO-CMM,00_오징어_관련자료/01_오징어_시장·가격/02_쿼터·어장/20260605-SPRFMO-CMM18_2026_Squid.md,G-007,md_extract.py,P1+P3-A,TAC 아님(2026 파나마 부결). 2026-05 감사 P0 정정 유지 — effort/선박수만 표기 | 선박수·GT는 어체 중량이 아니므로 metrics=effort
A_species_production_split,A,4종 분리 생산 시계열 1980-2024,line,개보수,w1_catch_powers|w3_jumbo_flying|w6_species_pie,Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,squid_only,live_weight,n/a,catch,level|production,descriptive,n/a,SQ-PROD-FAO-FISHSTAT,update_2026-07-06/fishstat/FishStat_2026.1.0_capture_squid.csv;update_2026-07-06/fishstat/FishStat_2026.1.0_species_codes_squid.csv,G-001|G-002,fishstat.py,P1+P3-A,원본 231 종코드에 Sepia속·Cephalopods NEI 포함 → Scientific_Name 화이트리스트 필터 필수
A_climate_stock_brief,A,기후·어장 이동 브리핑,card,개보수,w_squid_enso_biomass|w27_squid_climate_geopolitics,Todarodes pacificus|Doryteuthis pealeii,squid_only,n/a,n/a,n/a,coverage,descriptive,n/a,SQ-PROD-NIFS-CLIMATE|SQ-PROD-NOAA-LONGFIN,00_오징어_관련자료/01_오징어_시장·가격/01_생산·자원/20260600-NIFS-Climate_Change_Briefing_2026.md;00_오징어_관련자료/01_오징어_시장·가격/01_생산·자원/20260812-NOAA-Longfin_Squid_Science.html,,md_extract.py,P1+P3-A,정성 요약 카드 — 수치 조작 금지
B_kmi_consumer_price,B,오징어 소비자가 — 원양 냉동 中 1마리,bar,신규,,Todarodes pacificus|Dosidicus gigas,squid_only,product_weight,consumer,n/a,level,operational,KRW,SQ-PRC-KMI,00_오징어_관련자료/01_오징어_시장·가격/11_분석·가공데이터/KMI_FishData_squid_price_20260811.csv,,kmi_price.py,P1+P3-B,5년평균/전년/전월/전주 대비 4축. 주간 갱신 계열 — 신선도 칩 필수
B_eu_market_prices,B,유럽 시장 오징어 거래가격 — 종·규격별,table,신규,,Loligo spp|Illex argentinus,squid_only,product_weight,import_unit,n/a,level,descriptive,EUR,SQ-PRC-FAO-EFPR,00_오징어_관련자료/01_오징어_시장·가격/04_가격·도매/20260700-FAO-European_Fish_Price_Report_July_2026.md,,md_extract.py,P1+P3-B,원문 .md 에 종·규격·인코텀즈·원산지가 붙은 가격표 존재 (Loligo gahi / Illex argentinus / Loligo vulgaris / Illex coindetii). CIF·FOB 거래가이므로 first_sale 아님
B_kcs_import_unit_price,B,한국 수입단가 월별 (2026-01~05),line,개보수,w4_unit_price|w_squid_import_unit_price_mt,Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,incl_cuttlefish,net_weight,import_unit,n/a,level,operational,USD,SQ-TRD-KCS,update_2026-07-06/kcs/KCS_2026YTD_HS_squid.csv,G-002|G-004,kcs.py,P1+P3-B,"HS 030742|030743|030749|160554는 갑오징어 포함 → taxon_note 필수. 2025 공백, 2026은 01~05만"
B_stage_separated_prices,B,거래단계 분리 비교판 (소비자·1차판매·수입단가),table,신규,,Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,squid_only,product_weight,n/a,n/a,level,operational,n/a,SQ-PRC-KMI|SQ-PRC-FAO-EFPR|SQ-TRD-KCS,00_오징어_관련자료/01_오징어_시장·가격/00_운영/measurement_gate.csv,G-004|G-008,derive.py,P1+P3-B,G-008 시각화 그 자체 — 단계별 나란히 표시하되 통합 평균선 그리지 말 것
