id,title,a1,a2,a3,a4,avg,grade,self_reliability
w01,전국 갈치 위판 시계열 — 10년 가격·물량 동시 추적,90,70,60,100,80.0,B,
w02,유통 마진 폭포 — 산지→소비자 단계별 원가 해부,90,75,60,100,81.2,B,
w03,조업 효율(CPUE) — 1마력당 어획량 한계 분석,60,60,60,100,70.0,C,
w04,해수면 온도(SST) 상승 — 어획량 감소 시나리오,90,75,60,100,81.2,B,
w05,중국 수입 의존도 95% — 구조적 취약점 분석,90,70,60,100,80.0,B,
w06,학교급식 B2B 시장 전환 전략,60,60,60,100,70.0,C,
w07,월별 매입 최적 타이밍 — 시즌별 가격 캘린더,90,75,60,100,81.2,B,
w08,한중 수산물 지정학 — 정치 리스크의 가격 전이,60,70,60,100,72.5,C,
w09,세네갈·대만 대체 공급선 검증 분석,90,95,60,100,86.2,A,
w10,해양수산부 정책 모니터링 — 규제·보조금 추적,90,70,60,100,80.0,B,
w11,KFAS 계군(Stock) 분석 — 해역별 자원량 추정,90,75,60,100,81.2,B,
w12,KFAS 생식생물학 — 성숙도 및 GSI 분석,60,75,60,100,73.8,C,
w13,KFAS 해역별 산란 시차 — 릴레이 매입 전략,90,75,60,100,81.2,B,
w14,글로벌 갈치 어획 50년 추이 — 중국 독점 형성 과정,90,40,60,100,72.5,C,
w15,국내 산지별 위판 구조 — 제주 57% 편중 리스크,90,75,60,100,81.2,B,
w16,어업 방식별 단가 프리미엄 분석,90,70,60,100,80.0,B,
w17,관세청 7년 수입 추이 — 중국 의존도 고착 분석,90,70,60,100,80.0,B,
w18,KAMIS 도매가격 — 산지-소비지 스프레드 추적,90,60,60,100,77.5,B,
w19,TAC 소진율 — 할당량 대비 실제 어획 괴리 분석,90,70,60,100,80.0,B,
w20,일본 수출 프리미엄 — $11.15/kg 고부가 기회,90,40,60,100,72.5,C,
w22,한국인 수산물 소비 — 세계 최상위권 내수 기반,90,70,60,100,80.0,B,
w23,수산물 관세 구조 — 갈치 MFN 10% 무방비 분석,90,70,60,100,80.0,B,
w24,WITS 기반 착지원가(Landed Cost) 시뮬레이션,90,60,60,100,77.5,B,
w25,UN Comtrade 글로벌 갈치 교역 흐름 분석,90,60,60,100,77.5,B,
w26,OSH 주요 소싱국 팩토리 매핑 · 노동 리스크 분석,60,60,60,100,70.0,C,
w27,OFAC·EU Sanctions 컴플라이언스 경보,90,60,60,100,77.5,B,
w28,ImportYeti B2B 벤더 발굴 — 직접 소싱 전략,60,60,60,100,70.0,C,
w29,NOAA·KFAS 기후-가격 융합 예측 매트릭스,90,60,60,100,77.5,B,
