final_id,pillar,final_title,archive_source_id,grade_target,carries_new,absorbs,note
s1_capture_species,S1,고등어 어종별 글로벌 어획량 추이,FAO_FISHSTAT_CAPTURE,A,,w01 w03,Scomber 4종 시계열 + 비중을 한 차트로. 어종별 분리는 감사 지적(w02 인도·러시아 혼입) 해소 전제
s1_capture_country,S1,주요 어획국 점유율·집중도,FAO_FISHSTAT_CAPTURE,A,,w02 w09 w04,한·일 연근해 감소와 중·러 원양 확대를 한 화면에서 대비
s1_korea_production,S1,한국 생산량·자급률,FAO_FISHSTAT_GLOBAL_PRODUCTION,A,,w_kosis_prod_value w13 MackerelKoreaSupply w_busan_procurement,자급률 정의 통일(어획/(어획+수입)) 필요. 부산공동어시장 위판은 국내 물량 대리지표로 편입
s1_stock_status,S1,자원평가 상태 스코어카드 (ICES·NPFC),ICES_ATLANTIC_MACKEREL,B,N5,w44 w68 w70 w43,대서양=ICES 2026 권고 / 태평양=NPFC TWG 2025. PDF 수동추출이므로 grade B 표기
s1_tac_quota,S1,TAC·쿼터 변동과 물량 전망,ICES_ATLANTIC_MACKEREL,B,N1,w42 w25,권고 TAC vs 실제 어획 초과율. 내년 대서양 물량·가격 선행지표
s1_import_origin_mix,S1,수입 원산지 구성과 집중 리스크,KCS_NITEMTRADE,A,N3,w14 w_origin_diversification MackerelNorwayAlt w66,노르웨이 의존도 정의 불일치(52% vs 67% vs 80~90%) 확정이 선행 조건
s1_import_origin_price,S1,원산지별 수입단가 비교,FAO_FISHSTAT_TRADE,A,,w65 w39 w28,노르웨이·영국·아이슬란드·페로 C&F 단가 한 차트. 소싱 판단의 주 위젯
s1_nsc_weekly,S1,노르웨이 주간 수출 물량·단가,NORWEGIAN_SEAFOOD_EXPORTS,A,N2,,신규. 유일한 주간 해상도 — 단가 협상 레퍼런스
s2_form_price_ladder,S2,가공형태별 단가 사다리,FAO_FISHSTAT_TRADE_PP,A,N8,w35 w40 w45,원물→필렛→훈제→통조림 단가 사다리. CN8·마진율 위젯 3개가 같은 말이라 통합
s2_hmr_valueadd,S2,HMR 전환 부가가치와 침투율,FAO_FISHSTAT_TRADE_PP,B,,w21 w24 w53,부가가치 배수 + 이커머스 침투율
s2_processing_hubs,S2,글로벌 가공 허브 이동,FAO_FISHSTAT_TRADE_PP,A,,w08 w33 w60 w41,중국·폴란드·태국·베트남 점유율 이동을 한 시계열로
s2_triangle_reexport,S2,삼각 가공 재수출 밸류체인,FAO_FISHSTAT_TRADE_PARTNERS,B,,w67,노르웨이→베트남→일본 루트. 원가절감 검토용
s2_fishmeal,S2,어분·어유 전환 물량,FAO_FISHSTAT_TRADE_PP,B,,w16 w29,식용 vs 사료용 배분. 참치 양식 사료 연동 포함
s2_aquaculture,S2,양식 전환 가능성,FAO_FISHSTAT_GLOBAL_PRODUCTION,B,,MackerelAquaculture w05,2023 정지 데이터를 2024 FishStat으로 교체
s2_us_market,S2,미국 시장 수입 동향·프리미엄대,USDA_GATS_US_IMPORTS,A,N7,w_us_boneless,USDA GATS 2025-01~2026-06 실측이 기존 D등급 추정 위젯을 대체
s3_korea_trade_balance,S3,한국 수출입 물량·단가·무역수지,FAO_FISHSTAT_TRADE,A,,w06 w07 w38,단가 역조와 수지 역전은 같은 현상의 두 면 — 한 위젯
s3_fta_quarterly,S3,FTA 체결국 분기별 수입 동향,KMI_FISHERIES_OUTLOOK,B,,MackerelFTAQuarterly w_fta_import_trend,KMI PDF 수동추출 유지하되 method=manual_extract 명시. 자동화는 별건
s3_kcs_monthly,S3,관세청 HS10별 월별 수입 실적 (2026),KCS_NITEMTRADE,A,,w49 w_trq_scenario,TRQ 시나리오는 근거 없어 폐기. 관세청 2026 YTD 실측 통관 데이터로 대체 — FAO(2024)보다 최신
s3_africa_volume_price,S3,아프리카 수출 물량·단가,FAO_FISHSTAT_TRADE_PARTNERS,A,,w11 w17 w52,+167% 클레임의 기간 정의(누적 vs YoY) 확정 필요 — 감사 지적 미해소
s3_export_destinations,S3,한국 수출 목적지 구조 변화,FAO_FISHSTAT_TRADE_PARTNERS,A,,w15 w58 w64 w48,INFOFISH 분기 랭킹을 FAO 연간 파트너 데이터로 대체·보강
s3_netherlands_hub,S3,네덜란드 가공·중계 허브,EUMOFA_MARKET,B,,w10 w18 w36,감사 지적대로 훈제 가공 + 중계 양립을 cardDesc에 동시 명시
s3_comtrade_matrix,S3,글로벌 교역 매트릭스 (HS6 5종),UN_COMTRADE_HS,A,N12,,신규. 164002행 실측이 현재 API fallback 하드코딩 8줄을 대체
s3_mfds_safety,S3,수입식품 검사·부적합 이력,MFDS_IMPORTED_FOOD,A,N4,MackerelSafetyPremium,신규 거래처 리스크 스크리닝. 후쿠시마 프리미엄 위젯의 정성 서술을 실측으로 교체
s4_eu_retail_inflation,S4,EU 소매가·식품 인플레이션,EUMOFA_MARKET,A,,w32 w46 w37,고등어 단일종과 소형부어류 그룹 혼동(w46 지적) 정리 필요
s4_korea_retail,S4,국내 소매가 벤치마크,KMI_FISHDATA_PRICE,B,N11,w12,KMI 인기어종 2026-06 기준
s4_market_polarization,S4,수입단가 양극화 (EU vs 아프리카),FAO_FISHSTAT_TRADE_PARTNERS,A,,w31,프리미엄대와 벌크대 분리 판단
s4_globefish_brief,S4,소형부어류 수급 브리핑,FAO_GLOBEFISH_SMALL_PELAGICS,B,N10,,신규. 분기 수급 내러티브
s5_msc_cert,S5,MSC 인증 커버리지·프리미엄,MSC_MACKEREL_FISHERIES,B,N9,w54 w22,유럽·미국 바이어 요구 대응
DELETE,,삭제 대상,,,,w73 w72 w74 w75 w34 w63 w61 w23 MackerelClimatePredictor w69 w_andong_salted w19 MackerelAfricanExportROI w_africa_coldchain w57 w62 w51 w_domestic_retail w59 w30 w27 w_global_b2c_channel w50 w55 w56 w26 w71,"순서대로 남해 먹이생태(2021)·AI초분광·고령친화식품·보냉팩실험·콜드체인차익(데이터없음)·대체단백질(n=3)·EU정책스코어카드. 실무 의사결정과 무관하거나 근거 부재 | 2026-08-13 2차 정리: 아카이브 근거 부재로 9개 통합안 폐기 — w23…: NOAA SST 실측 데이터가 아카이브에 없음(문서 MD만). 어획 변동은 s1_capture_* 가 실측으로 덮음 / w_andong_salted…: 간고등어 수요 규격은 추정치이며 아카이브 근거 없음 / w19…: SCFI 운임·콜드체인 비용 실측 없음(UNCTAD 문서 1건). 물량·단가는 s3_africa_volume_price 가 실측 / w57…: COVID·Brexit·우크라이나 3중 지수는 합성 지표로 1차출처 없음 / w51…: 부산공동어시장 위판가 데이터 없음(뉴스 MD만). 소비자가격은 s4_korea_retail 이 덮음 / w59…: EUMOFA annex 는 국가·월별 1차판매가 기계판독 데이터가 있으나 전 어종 합산이라 고등어 단일종을 분리할 수 없고, 산지→도매→소매 체인도 없음. 고등어 1차판매가는 EUMOFA 본문 표14 기반 s4_eu_retail_inflation 이 덮음 / w27…: D2C 다이내믹 프라이싱 근거 전무 / w50…: EJF·OECD 2차출처이며 아카이브 미수집. 지속가능성은 s5_msc_cert 가 1차출처로 덮음 / w26…: 어분 실측은 s2_fishmeal 이 덮음. 부산물 연구는 실무 의사결정과 무관"
