source,file,id,title,pillar,axis1,axis2,axis3,axis4,avg,grade
TSX,components/SalmonESGTracker.tsx,-,ESG 공급망 투명성 트래커,S5,60,95,80,100,83.8,B
TSX,components/SalmonForecastSimulator.tsx,-,수급 전망 & 착지원가 시뮬레이터,S4,60,95,95,100,87.5,A
TSX,components/SalmonInsightAutomationYield.tsx,-,[가공] AI 기반 수율 극대화 & 스마트 팩토리 CAPEX,S2,60,40,40,100,60.0,D
TSX,components/SalmonInsightClimate.tsx,-,수온 상승의 역설 & 탄소세(Carbon Tax) 폭탄,S5,60,40,40,100,60.0,D
TSX,components/SalmonInsightDoubleMateriality.tsx,-,[ESG] 이중 중대성 평가 (Double Materiality),S5,60,40,40,100,60.0,D
TSX,components/SalmonInsightFeed.tsx,-,마진율 방어: 사료 내재화 & 기능성 대체 원료,S1,60,40,40,100,60.0,D
TSX,components/SalmonInsightFeedBio.tsx,-,[원물] 사료 원가 리스크 헷징: 대체 단백질 & FIFO (Fish In-Fish Out),S1,60,40,40,100,60.0,D
TSX,components/SalmonInsightGlobalSupplyPrice.tsx,-,[판매] 공급 변동성과 스팟 가격(Spot Price) 역상관관계,S4,60,40,40,100,60.0,D
TSX,components/SalmonInsightLogisticsResilience.tsx,-,[물류] 거시 충격과 EU 연어 수입 물류 회복탄력성,S3,55,95,95,70,78.8,B
TSX,components/SalmonInsightMarginSqueeze.tsx,-,[가공] EU 훈제 연어 마진 압박과 가격 결정력 (Pricing Power),S2,60,40,40,100,60.0,D
TSX,components/SalmonInsightProcessing.tsx,-,무인화(Lights-out) 공장 & 슈퍼 칠링,S2,60,40,40,100,60.0,D
TSX,components/SalmonInsightSmartColdChain.tsx,-,[물류] 콜드체인 고도화: 해운 전환 및 IoT 모니터링,S3,60,40,40,100,60.0,D
TSX,components/SalmonInsightSmolt.tsx,-,생물학적 한계 돌파: 포스트 스몰트 & 심해 레이저,S1,60,40,40,100,60.0,D
TSX,components/SalmonInsightTradeDown.tsx,-,[판매] 인플레이션 대체 단백질 가격 (Trade-Down),S4,55,95,95,70,78.8,B
TSX,components/SalmonLiveTicker.tsx,-,실시간 연어 무역 인텔리전스,S4,90,40,40,100,67.5,C
TSX,components/SalmonNTBRadar.tsx,-,비관세장벽 & 컴플라이언스 레이더,S3,90,95,95,100,95.0,A
TSX,components/SalmonPolicyImpact.tsx,-,정책 임팩트 시뮬레이터,S3,60,95,55,100,77.5,B
JSON,salmon_real_data_v4.json,w01_paradigm,글로벌 패러다임: 생산량 (어획 vs 양식),,60,40,40,70,52.5,D
JSON,salmon_real_data_v4.json,w02_aqua_value,글로벌 대서양 연어 가치 폭등 곡선,,60,40,40,70,52.5,D
JSON,salmon_real_data_v4.json,w03_aqua_pie,양식 제국 독점: Top 5 국가 리더보드 (2022),,60,40,40,70,52.5,D
JSON,salmon_real_data_v4.json,w04_proc,글로벌 2차 가공 부가가치 산업의 폭발적 팽창,,60,40,40,70,52.5,D
JSON,salmon_real_data_v4.json,w05_cash,자본 회수: 양식 매출(Cash-Flow) Top 국가,,60,40,40,70,52.5,D
JSON,salmon_real_data_v4.json,w06_trade_vol,거대 트레이딩: 글로벌 무역 파이 팽창선,,60,40,40,70,52.5,D
