commodity,widget_id,title,pillar,telemetry,a1,a2,a3,a4,avg,grade,source_csv,score_method,notes
galchi,w01,전국 갈치 위판 시계열 — 10년 가격·물량 동시 추적,,,90.0,70.0,60.0,100.0,80.0,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w02,유통 마진 폭포 — 산지→소비자 단계별 원가 해부,,,90.0,75.0,60.0,100.0,81.2,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w03,조업 효율(CPUE) — 1마력당 어획량 한계 분석,,,60.0,60.0,60.0,100.0,70.0,C,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w04,해수면 온도(SST) 상승 — 어획량 감소 시나리오,,,90.0,75.0,60.0,100.0,81.2,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w05,중국 수입 의존도 95% — 구조적 취약점 분석,,,90.0,70.0,60.0,100.0,80.0,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w06,학교급식 B2B 시장 전환 전략,,,60.0,60.0,60.0,100.0,70.0,C,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w07,월별 매입 최적 타이밍 — 시즌별 가격 캘린더,,,90.0,75.0,60.0,100.0,81.2,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w08,한중 수산물 지정학 — 정치 리스크의 가격 전이,,,60.0,70.0,60.0,100.0,72.5,C,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w09,세네갈·대만 대체 공급선 검증 분석,,,90.0,95.0,60.0,100.0,86.2,A,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w10,해양수산부 정책 모니터링 — 규제·보조금 추적,,,90.0,70.0,60.0,100.0,80.0,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w11,KFAS 계군(Stock) 분석 — 해역별 자원량 추정,,,90.0,75.0,60.0,100.0,81.2,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w12,KFAS 생식생물학 — 성숙도 및 GSI 분석,,,60.0,75.0,60.0,100.0,73.8,C,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w13,KFAS 해역별 산란 시차 — 릴레이 매입 전략,,,90.0,75.0,60.0,100.0,81.2,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w14,글로벌 갈치 어획 50년 추이 — 중국 독점 형성 과정,,,90.0,40.0,60.0,100.0,72.5,C,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w15,국내 산지별 위판 구조 — 제주 57% 편중 리스크,,,90.0,75.0,60.0,100.0,81.2,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w16,어업 방식별 단가 프리미엄 분석,,,90.0,70.0,60.0,100.0,80.0,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w17,관세청 7년 수입 추이 — 중국 의존도 고착 분석,,,90.0,70.0,60.0,100.0,80.0,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w18,KAMIS 도매가격 — 산지-소비지 스프레드 추적,,,90.0,60.0,60.0,100.0,77.5,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w19,TAC 소진율 — 할당량 대비 실제 어획 괴리 분석,,,90.0,70.0,60.0,100.0,80.0,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w20,일본 수출 프리미엄 — $11.15/kg 고부가 기회,,,90.0,40.0,60.0,100.0,72.5,C,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w22,한국인 수산물 소비 — 세계 최상위권 내수 기반,,,90.0,70.0,60.0,100.0,80.0,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w23,수산물 관세 구조 — 갈치 MFN 10% 무방비 분석,,,90.0,70.0,60.0,100.0,80.0,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w24,WITS 기반 착지원가(Landed Cost) 시뮬레이션,,,90.0,60.0,60.0,100.0,77.5,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w25,UN Comtrade 글로벌 갈치 교역 흐름 분석,,,90.0,60.0,60.0,100.0,77.5,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w26,OSH 주요 소싱국 팩토리 매핑 · 노동 리스크 분석,,,60.0,60.0,60.0,100.0,70.0,C,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w27,OFAC·EU Sanctions 컴플라이언스 경보,,,90.0,60.0,60.0,100.0,77.5,B,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w28,ImportYeti B2B 벤더 발굴 — 직접 소싱 전략,,,60.0,60.0,60.0,100.0,70.0,C,galchi_4axis_scores.csv,forensic_4axis_audit,
galchi,w29,NOAA·KFAS 기후-가격 융합 예측 매트릭스,,,90.0,60.0,60.0,100.0,77.5,B,galchi_4axis_scores.csv,forensic_4axis_audit,
jukkumi,w1_global_catch,글로벌 주꾸미 원물 소싱 현황 및 연안 자원량 지수,,,90.0,60.0,75.0,90.0,78.8,B,jukkumi_4axis_scores.csv,forensic_4axis_audit,
jukkumi,w2_korea_imports,HMR(가정간편식) 가공 수율 및 제조 원가율 추이,,,90.0,95.0,75.0,90.0,87.5,A,jukkumi_4axis_scores.csv,forensic_4axis_audit,
jukkumi,w3_supply_demand,FTA 체결국발 물류 원가 및 통관 리스크 지수,,,90.0,60.0,75.0,90.0,78.8,B,jukkumi_4axis_scores.csv,forensic_4axis_audit,
jukkumi,w4_fbs_seafood,유통 채널별 주꾸미 판매 단가 및 탄력성 지수,,,90.0,60.0,65.0,90.0,76.2,B,jukkumi_4axis_scores.csv,forensic_4axis_audit,
jukkumi,w5_mauritania_risk,콜드체인 병원성 리스크 및 보건 안전 지수 (Vibrio),,,90.0,95.0,75.0,90.0,87.5,A,jukkumi_4axis_scores.csv,forensic_4axis_audit,
jukkumi,w6_bio_processing,생물학적 가공 수율 최적화 지수 (월별 알/내장 비율),,,90.0,95.0,75.0,90.0,87.5,A,jukkumi_4axis_scores.csv,forensic_4axis_audit,
jukkumi,w7_cannibalism_risk,주꾸미 양식 공식(Cannibalism) 리스크 및 생존율,,,90.0,95.0,75.0,90.0,87.5,A,jukkumi_4axis_scores.csv,forensic_4axis_audit,
jukkumi,w8_recreational_tac,로컬 유어낚시 어획량 및 TAC 규제 리스크 전망,,,90.0,95.0,75.0,90.0,87.5,A,jukkumi_4axis_scores.csv,forensic_4axis_audit,
jukkumi,w9_korea_fta_imports,한국 수입 주꾸미 국가별 점유율 및 가공 원가 지수,,,90.0,95.0,75.0,90.0,87.5,A,jukkumi_4axis_scores.csv,forensic_4axis_audit,
jukkumi,w10_species_map,글로벌 두족류 종 분포 및 대체종 소싱 지도,,,90.0,60.0,75.0,90.0,78.8,B,jukkumi_4axis_scores.csv,forensic_4axis_audit,
