src,file,line,id,pillar,title,a1,a2,a3,a4,avg,grade,self_reliability
TSX,components/SquidArbitrageRadar.tsx,247,,S4,오징어 글로벌 마진 레이더 (Squid Arbitrage Radar),60,95,95,100,87.5,A,
TSX,components/SquidAreaMap.tsx,249,,S1,해역별 어획량 팽창 지도,60,95,80,100,83.8,B,
TSX,components/SquidB2BMarginTracker.tsx,11,,S4,B2B 직납 vs 유통 도매시장 채널수익 비교,60,95,55,90,75.0,B,
TSX,components/SquidCPUEProfitability.tsx,11,,S1,실시간 조업 채산성 (CPUE) 트래커,60,95,95,90,85.0,A,
TSX,components/SquidClimateRadar.tsx,11,,S1,수온 기반 공급망 스위칭(Switching) 레이더,60,95,95,90,85.0,A,
TSX,components/SquidCollapseCountdown.tsx,10,,S1,연대기적 자원 붕괴 카운트다운 (Collapse Trajectory),60,95,80,100,83.8,B,
TSX,components/SquidComplianceRisk.tsx,25,,S3,글로벌 ITQ 쿼터 및 IUU 컴플라이언스 리스크 매트릭스,60,95,80,90,81.2,B,
TSX,components/SquidDemandDestruction.tsx,11,,S4,거시경제 연동 수산물 대체소비(Demand Destruction) 지표,60,95,80,100,83.8,B,
TSX,components/SquidFXHedging.tsx,10,,S3,원-달러 환율 연동 수입/원가 헷징,60,95,95,90,85.0,A,
TSX,components/SquidFuelBEP.tsx,11,,S2,유류비 손익분기점(BEP) 트래커,90,95,80,100,91.2,A,
TSX,components/SquidGlobalHegemony.tsx,14,,S1,글로벌 어획 패권 블랙홀 (Hegemony Shift),60,95,80,90,81.2,B,
TSX,components/SquidImportPortfolio.tsx,61,,S2,한국 오징어 수입 품목 포트폴리오 (2010-2023),60,95,80,100,83.8,B,
TSX,components/SquidInventoryRelease.tsx,11,,S2,명절 및 성수기 재고 출회 윈도우(Window),60,95,80,90,81.2,B,
TSX,components/SquidKoreaSupply.tsx,156,,S1,한국 오징어 수급 위기 모니터,60,95,80,100,83.8,B,
TSX,components/SquidLogisticsOptimizer.tsx,11,,S3,콜드체인 물류·보관료 최적화 데드크로스,60,95,80,100,83.8,B,
TSX,components/SquidOriginDiversification.tsx,11,,S3,공급망 리드타임(Lead-Time) 분산 레이더,60,95,80,100,83.8,B,
TSX,components/SquidPolicyArbitrage.tsx,22,,S3,관세 및 정책 이벤트 연동 차익거래 (Policy Arbitrage),60,95,80,90,81.2,B,
TSX,components/SquidProteinWar.tsx,10,,S4,글로벌 단백질 체급 100% 스택 전쟁 (Protein War),60,95,80,100,83.8,B,
TSX,components/SquidQuotaExhaustion.tsx,10,,S1,어획 쿼터(ITQ) 실시간 소진율 마일스톤,60,95,95,90,85.0,A,
TSX,components/SquidShrinkflation.tsx,33,,S4,슈링크플레이션 — 글로벌 오징어 공급↓ vs 무역액↑,60,95,80,100,83.8,B,
TSX,components/SquidSizePremium.tsx,11,,S2,크기/중량별 시장 프리미엄 지수,60,95,80,90,81.2,B,
TSX,components/SquidSubstitutionElasticity.tsx,10,,S4,대왕오징어 대체 탄력성 스위칭(Switch) 지표,60,95,80,90,81.2,B,
TSX,components/SquidTab1Widgets.tsx,21,,S1,기후-어획량 상관관계 (해양대기청 ENSO vs 어획량),60,95,80,100,83.8,B,
TSX,components/SquidTab1Widgets.tsx,73,,S1,자원 붕괴 카운트다운 오버레이,60,95,55,100,77.5,B,
