file,line,pillar,title,axis1_source,axis2_freshness,axis3_verify,axis4_completeness,avg,grade,dynamic
components/FfaEnsoCatchCorrelation.tsx,181,S1,ENSO × 어획량 상관 분석,95,75,55,100,81.2,B,
components/FfaGlobalProcessingCapacity.tsx,65,S2,글로벌 가공 캐파 모니터,50,70,55,65,60.0,D,
components/FfaStockHealthGauge.tsx,343,S1,자원 건강도 게이지,95,70,55,100,80.0,B,
components/FfaSupplyConcentrationRisk.tsx,127,S1,공급 집중도 리스크,95,70,55,100,80.0,B,
components/FfaVdsMarketIndicator.tsx,114,S1,VDS 시장 인디케이터,95,75,55,100,81.2,B,
components/FfaWcpoSupplyDashboard.tsx,275,S1,WCPO 수급 대시보드,95,70,55,100,80.0,B,
components/PacificEezStrategicWidget.tsx,122,S1,태평양 도서국(PNA) 배타적 경제수역(EEZ) 포트폴리오,95,95,55,100,86.2,A,
components/PetFoodDashboard.tsx,113,S4,시장 진입 시나리오 예측기 (Phase 3),65,95,55,100,78.8,B,
components/PetFoodDashboard.tsx,149,S1,오징어(Illex) 어획 부진 및 원가 리스크 맵,65,95,80,100,85.0,A,
components/PetFoodDashboard.tsx,178,S2,식물성 믹스 원가 방어율 예측기,80,95,80,100,88.8,A,
components/PetFoodDashboard.tsx,206,S5,클린 라벨 전환: 카라기난 리스크 방어 🟢 Live API,65,70,95,100,82.5,B,
components/PetFoodDashboard.tsx,232,S3,한국 펫푸드 무역수지 추이 (달러),65,95,80,100,85.0,A,
components/PetFoodDashboard.tsx,259,S4,수출 단가 국가별 격차 ($/kg),65,95,80,100,85.0,A,
components/PetFoodDashboard.tsx,285,S4,펫푸드 내 원자재 구성비 해부 (%),65,95,80,100,85.0,A,
components/PetFoodDashboard.tsx,307,S4,글로벌 참치 펫푸드 밸류업 마진 비교 (%),80,95,80,100,88.8,A,
components/PetFoodDashboard.tsx,333,S4,단백질 원자재별 톤당 글로벌 단가 비교 ($/kg) 🟢 Live API,65,70,95,100,82.5,B,
components/PetFoodDashboard.tsx,359,S4,대체 단백질 시장의 폭발적 성장성 전망 (억$) 🟢 Live API,65,70,95,100,82.5,B,
components/PetFoodDashboard.tsx,387,S4,[동적]d_kfas_w05.title,65,95,80,100,85.0,DYN,Y
components/PetFoodDashboard.tsx,413,S1,RFMO 쿼터 축소 → 원물 공급 리스크,65,95,80,100,85.0,A,
components/PetFoodDashboard.tsx,445,S1,기후변화 → 참치 서식지 이동 전망 (2050/2100),65,95,80,100,85.0,A,
components/PetFoodDashboard.tsx,481,S2,틸라피아 껍질 업사이클링 수익성 🟢 Live API,65,70,95,100,82.5,B,
components/PetFoodDashboard.tsx,507,S4,주요 기업 매출 및 이익률 비교 (억 원),65,95,80,100,85.0,A,
components/PetFoodDashboard.tsx,533,S4,펫푸드 원자재 및 환율 민감도 분석 (%),65,95,55,100,78.8,B,
