widget,title,pillar,telemetry,a1,a2,a3,a4,audit_avg,adjusted_avg,grade,p0_count,p1_count,p2_count
SasUsCompetitorMap,미국 사시미 유통 경쟁 지도,S4,STATIC,66,50,70,74,70.75,65,D,0,3,3
SasUsDemandSeasonality,미국 참치 수요 드라이버 & 계절성,S4,STATIC,72,70,66,78,81.5,71.5,C,0,3,4
SasUsImportBarriers,미국 참치 수입 규제 3중 관문,S3,STATIC,80,70,74,88,85.75,78,B,0,2,3
SasUsMarginWaterfall,미국 참치 마진 워터폴 ($/kg),S4,STATIC,44,60,38,64,64,51.5,F,0,5,3
SasUsTariffLadder,2025 미국 상호관세 공급국 사다리,S3,STATIC,86,78,76,80,86.5,80,B,0,3,3
SasUkChannelSplit,영국 참치 채널 이원화 (캔 vs 스시·투고),S4,STATIC,70,80,68,78,81.5,74.5,C+,0,3,2
SasUkSupplierTariff,영국 참치 수입 공급국 & 관세 비대칭,S3,STATIC,78,86,70,80,81,79,B,0,3,3
SasThaiEsgRisk,태국 수산 ESG 리스크 (IUU·강제노동),S5,STATIC,82,78,83,80,85.75,80.75,B,0,2,3
SasThaiSourcing,태국 원료조달 & EU 관세 핸디캡,S1,STATIC,58,60,54,84,73,64,D,0,3,3
SasEuBrandMap,EU 캔참치 국가별 시장·브랜드 구도,S4,STATIC,73,71,79,82,78.5,75.5,B,0,2,3
SasEuCatchGate,EU 진입 규제 게이트 (CATCH 디지털 인증),S3,STATIC,90,78,85,88,85.25,82.5,B+,0,2,2
SasEuClosedCycle,EU 완전양식 참다랑어 — 야생쿼터 탈피 신기술,S2,STATIC,64,54,63,85,71,66.5,C,0,3,3
SasEuDistantFleet,EU 원양선단 인도양 황다랑어 자원 리스크,S1,STATIC,78,70,68,80,87.5,74,B,0,3,3
SasEuMscGate,EU·영국 MSC 지속가능 라벨 게이트,S5,STATIC,78,77,74,74,82.5,75.75,C,0,3,3
SasEuProcessingHub,EU 참치 가공 허브 — 스페인,S2,STATIC,60,50,58,84,73.5,63,D,0,3,2
SasEuRetailInflation,EU 캔참치 원료가 변동성 & 소비자 다운트레이딩,S4,STATIC,58,82,52,82,80,68.5,D,0,4,2
SasEuTariffRegime,EU 참치 관세 체제 — 24% 장벽과 무관세 우회로,S3,STATIC,78,65,72,74,79,72.25,C,0,2,3
SasExColdLogistics,부산발 참치 수출 콜드체인 운송 경로,S3,STATIC,68,74,52,80,79.25,68.5,C,0,3,2
SasExEmergingMena,중동 할랄 사시미 교두보 — 신흥 수출시장,S4,STATIC,79,88,72,88,84.25,81.75,B,0,3,4
SasGlChinaDemand,중국 참치 수요 부상 — 일본 의존 탈피 다변화 대상,S4,STATIC,66,58,70,85,67.5,71.75,C,0,2,1
SasGlConsumptionMatrix,국가별 참치 사시미 소비시장 비교,S4,STATIC,60,52,52,87,71.5,62.75,D,0,5,3
SasGlTradeFlows,글로벌 참치 무역 흐름 — 통조림 vs 비통조림,S4,STATIC,78,55,60,84,79,69,C+,0,4,2
SasGlWcpoSupply,글로벌 참치 공급 — WCPO 사상 최대 어획,S1,STATIC,80,88,68,93,89.25,80.5,B+,0,4,4
SasJpAquaculture,일본 참다랑어 완전양식의 역설,S2,STATIC,74,90,58,80,84.25,75.5,C,0,3,3
SasJpDistribution,도요스 너머 — 일본 사시미 유통 구조,S4,STATIC,72,58,70,84,80.5,71,C,0,3,3
SasJpImportYen,엔저가 가른 일본 참치 수입 (買い負け),S4,STATIC,71,85,63,87,77.25,76.5,B,0,3,3
SasKrAccessQuota,한국 원양 태평양 입어료(VDS) 압박,S1,STATIC,80,70,62,88,83,75,C,0,4,3
SasKrByproduct,한국 참치 가공수율 & 부산물 밸류업 격차,S2,STATIC,58,80,42,82,77,65.5,C,0,4,3
SasKrDualRoute,한국 두 경로 분기 (태국 원물 vs 영국 직수출),S4,STATIC,66,70,58,82,73,69,D,0,3,3
SasKrFleetEconomics,한국 원양 참치 선단 — 노후화·인력 리스크,S1,STATIC,74,54,70,80,81,69.5,C,0,3,2
SasKrSuperTuna,동원산업 '슈퍼튜나' — 선망 어획 횟감 업그레이드,S2,STATIC,74,28,62,85,60.25,62.25,D,0,0,3
SasOlCellBased,세포배양·대체 참치 2030 — 파괴적 위협,S5,STATIC,82,85,80,85,86.5,83,B+,0,2,3
SasOlClimateMigration,기후 어장 이동 — 가다랑어 동·극지 대이동,S5,STATIC,90,68,86,73,83,79,B,0,2,4
SasPrAuctionDirect,경매 가격발견 vs 직거래 부두값,S4,STATIC,74,58,72,88,73,59.75,F,0,4,3
SasPrGradeBySpecies,어종별 사시미 등급 결정 요인,S4,STATIC,53,80,44,80,69.5,64.25,C,0,2,2
SasPrGradeSystem,참치 사시미 등급 체계 (#1~#3),S4,STATIC,74,72,74,85,69.5,76.25,C,0,1,3
