id,title,a1,a2,a3,a4,avg,grade,self_reliability
w1_global_catch,글로벌 주꾸미 원물 소싱 현황 및 연안 자원량 지수,90,60,75,90,78.8,B,95
w2_korea_imports,HMR(가정간편식) 가공 수율 및 제조 원가율 추이,90,95,75,90,87.5,A,98
w3_supply_demand,FTA 체결국발 물류 원가 및 통관 리스크 지수,90,60,75,90,78.8,B,92
w4_fbs_seafood,유통 채널별 주꾸미 판매 단가 및 탄력성 지수,90,60,65,90,76.2,B,88
w5_mauritania_risk,콜드체인 병원성 리스크 및 보건 안전 지수 (Vibrio),90,95,75,90,87.5,A,96
w6_bio_processing,생물학적 가공 수율 최적화 지수 (월별 알/내장 비율),90,95,75,90,87.5,A,94
w7_cannibalism_risk,주꾸미 양식 공식(Cannibalism) 리스크 및 생존율,90,95,75,90,87.5,A,96
w8_recreational_tac,로컬 유어낚시 어획량 및 TAC 규제 리스크 전망,90,95,75,90,87.5,A,92
w9_korea_fta_imports,한국 수입 주꾸미 국가별 점유율 및 가공 원가 지수,90,95,75,90,87.5,A,98
w10_species_map,글로벌 두족류 종 분포 및 대체종 소싱 지도,90,60,75,90,78.8,B,90
w11_spawn_cycle,주꾸미 산란 주기 및 자원량 계절 변동 모델,90,95,75,90,87.5,A,94
w12_generation_risk,단년생 세대 회전율 및 기후 연동 리스크 지표,90,95,75,90,87.5,A,92
w13_processing_auto,산지별 원료 수율 및 1차 가공 단가 구조,90,95,65,90,85.0,A,88
w14_nutrition,두족류 영양성분 프로파일 및 프리미엄 마케팅 지표,90,95,75,90,87.5,A,90
w15_hsk_tariff,HSK 세번별 주꾸미 수입 관세율 및 FTA 절감 매트릭스,90,95,75,90,87.5,A,96
w16_korus_schedule,한미 FTA 두족류 양허 스케줄 및 수출 기회 전망,90,95,75,90,87.5,A,92
w17_price_spread,국내산 대 수입산 주꾸미 가격 스프레드 및 시장 분화,90,95,75,90,87.5,A,96
w18_substitutes,프랜차이즈 도매 납품가 및 대체재 교차 탄력성 분석,90,60,65,90,76.2,B,88
w19_vibrio_amr,비브리오 항균제 내성 프로파일 및 보건 리스크,60,60,75,90,71.2,C,94
w20_fip_esg,산지별 지속가능성 인증 현황 및 해역 리스크 지수,90,95,75,90,87.5,A,90
w21_leisure_fishing_impact,유어낚시 자원 잠식도,90,95,60,90,83.8,B,
w22_vietnam_trawl_fip,베트남 저인망 FIP 진행률,90,95,60,90,83.8,B,
w23_hmr_yield_optimization,HMR 가공 수율 및 단가,90,95,60,90,83.8,B,
w24_china_aquaculture_rd,중국 단완낙지 양식 생장률,60,95,60,90,76.2,B,
w25_tariff_schedule_impact,수입 관세 철폐 스케줄,90,95,60,90,83.8,B,
w26_coldchain_utilization,동남아 콜드체인 인프라,90,95,60,90,83.8,B,
w27_japan_kfood_export,일본 K-주꾸미 수출 성장세,90,95,60,90,83.8,B,
w28_domestic_senior_hmr,시니어 친화 간편식 침투율,90,95,60,90,83.8,B,
w29_africa_human_rights_risk,아프리카 대체재 인권 리스크,90,95,60,90,83.8,B,
w30_tac_regulation_map,2026 자원관리 TAC 압박도,90,95,60,90,83.8,B,
